Field Size,"Sc,p",,,
1.0,0.937,,,
1.5,0.94,,,
2.0,0.944,,,
2.5,0.947,,,
3.0,0.951,,,
3.5,0.954,,,
4.0,0.958,,,
4.5,0.961,,,
5.0,0.963,,,
5.5,0.968,,,
6.0,0.972,,,
6.5,0.976,,,
7.0,0.98,,,
7.5,0.984,,,
8.0,0.987,,,
8.5,0.99,,,
9.0,0.993,,,
9.5,0.997,,,
10.0,1.0,,,
10.5,1.0023,,,
11.0,1.0045,,,
11.5,1.007,,,
12.0,1.009,,,
12.5,1.011,,,
13.0,1.012,,,
13.5,1.013,,,
14.0,1.014,,,
14.5,1.015,,,
15.0,1.016,,,
15.5,1.017,,,
16.0,1.018,,,
16.5,1.019,,,
17.0,1.02,,,
17.5,1.021,,,
18.0,1.022,,,
18.5,1.023,,,
19.0,1.024,,,
19.5,1.024,,,
20.0,1.025,,,
20.5,1.026,,,
21.0,1.027,,,
21.5,1.028,,,
22.0,1.029,,,
22.5,1.03,,,
23.0,1.031,,,
23.5,1.031,,,
24.0,1.032,,,
24.5,1.033,,,
25.0,1.034,,,
25.5,1.035,,,
26.0,1.035,,,
26.5,1.035,,,
27.0,1.036,,,
27.5,1.036,,,
28.0,1.037,,,
28.5,1.037,,,
29.0,1.038,,,
29.5,1.038,,,
30.0,1.039,,,